target_name,kind,method,scheme,stl,seed,d,kappa,tau,dt,batch_size,n_steps,tail_mean_gap,tail_median_gap,tail_std_gap,final_gap,tail_steps,spd_fail
gaussian,gaussian,riemannian,riemannian,0,18,2,10.0,0.0,0.1,4,2000,0.0111044519506977,0.0078509056677715,0.0111067357118506,0.0209122793479503,400,0
gaussian,gaussian,riemannian,riemannian,0,19,2,10.0,0.0,0.1,4,2000,0.0098319649385077,0.0072449075094919,0.0087393266490825,0.0200060018510523,400,0
gaussian,gaussian,kl,kl,0,0,2,10.0,0.0,0.1,4,2000,0.0135685132978694,0.0119773354866782,0.0109416391083226,0.0119799327788869,400,0
gaussian,gaussian,kl,kl,0,1,2,10.0,0.0,0.1,4,2000,0.0114637325215661,0.0080340950575994,0.0119635273619241,0.022168412209981,400,0
gaussian,gaussian,kl,kl,0,2,2,10.0,0.0,0.1,4,2000,0.0140779816799943,0.0111352905823866,0.0116499379194486,0.0096405929720797,400,0
gaussian,gaussian,kl,kl,0,3,2,10.0,0.0,0.1,4,2000,0.0143319925197527,0.0084387688252774,0.0169844935068836,0.0035015553809125,400,0
gaussian,gaussian,kl,kl,0,4,2,10.0,0.0,0.1,4,2000,0.0165087437862751,0.0107719734456175,0.0168275799953366,0.0733829678590221,400,0
gaussian,gaussian,kl,kl,0,5,2,10.0,0.0,0.1,4,2000,0.0121346893322116,0.0083542073456247,0.0121475633500829,0.0053089607877085,400,0
gaussian,gaussian,kl,kl,0,6,2,10.0,0.0,0.1,4,2000,0.0154425534988678,0.0116519269961599,0.0138864704658838,0.0351100346427193,400,0
gaussian,gaussian,kl,kl,0,7,2,10.0,0.0,0.1,4,2000,0.0163714212863731,0.0097837766114009,0.0161077988656739,0.0137555047048527,400,0
gaussian,gaussian,kl,kl,0,8,2,10.0,0.0,0.1,4,2000,0.0086617505790765,0.0059508022249608,0.0081200943839064,0.0021130394214368,400,0
gaussian,gaussian,kl,kl,0,9,2,10.0,0.0,0.1,4,2000,0.0159744643678366,0.0124818881101653,0.0140029407230907,0.0296250049454669,400,0
gaussian,gaussian,kl,kl,0,10,2,10.0,0.0,0.1,4,2000,0.0111822849838935,0.0079007966073124,0.0106131786862041,0.0021010728824482,400,0
gaussian,gaussian,kl,kl,0,11,2,10.0,0.0,0.1,4,2000,0.0123357169748176,0.0097603977263649,0.0108014970037693,0.032973004581859,400,0
gaussian,gaussian,kl,kl,0,12,2,10.0,0.0,0.1,4,2000,0.0127587703073776,0.0078403827164774,0.0142277631103704,0.0021733860436781,400,0
gaussian,gaussian,kl,kl,0,13,2,10.0,0.0,0.1,4,2000,0.0128608954040585,0.0084027232000688,0.013280403656299,0.0069631372169844,400,0
gaussian,gaussian,kl,kl,0,14,2,10.0,0.0,0.1,4,2000,0.0120880386085882,0.0094868867707552,0.0107865003599185,0.004651387034795,400,0
gaussian,gaussian,kl,kl,0,15,2,10.0,0.0,0.1,4,2000,0.0150719384372663,0.0097089878109916,0.0149922615850399,0.0031447805662434,400,0
gaussian,gaussian,kl,kl,0,16,2,10.0,0.0,0.1,4,2000,0.0131125000045153,0.0092087193272861,0.0134294037915529,0.0015994019684819,400,0
gaussian,gaussian,kl,kl,0,17,2,10.0,0.0,0.1,4,2000,0.0129427525399996,0.0095829819900339,0.0117706803875229,0.0024994702940877,400,0
gaussian,gaussian,kl,kl,0,18,2,10.0,0.0,0.1,4,2000,0.0111044519506976,0.0078509056677715,0.0111067357118506,0.0209122793479503,400,0
gaussian,gaussian,kl,kl,0,19,2,10.0,0.0,0.1,4,2000,0.0098319649385076,0.0072449075094919,0.0087393266490825,0.0200060018510523,400,0
gaussian,gaussian,riemannian,riemannian,0,0,2,10.0,0.0,0.1,16,2000,0.0028229468230363,0.0020241991194248,0.0027511384176912,0.0021739787352905,400,0
gaussian,gaussian,riemannian,riemannian,0,1,2,10.0,0.0,0.1,16,2000,0.0037291416581639,0.002534011174508,0.0038801131480824,0.0036549235648501,400,0
gaussian,gaussian,riemannian,riemannian,0,2,2,10.0,0.0,0.1,16,2000,0.0029072491164386,0.002023861596065,0.0031604047023952,0.0020256925551846,400,0
gaussian,gaussian,riemannian,riemannian,0,3,2,10.0,0.0,0.1,16,2000,0.003064671692878,0.002272984853624,0.0028757994659535,0.0004010043081279,400,0
gaussian,gaussian,riemannian,riemannian,0,4,2,10.0,0.0,0.1,16,2000,0.0031939414073552,0.0020074120454156,0.0047774290738863,0.0012892753586757,400,0
gaussian,gaussian,riemannian,riemannian,0,5,2,10.0,0.0,0.1,16,2000,0.0040838714125892,0.0025534394284935,0.0040842316654281,0.0001491211772481,400,0
gaussian,gaussian,riemannian,riemannian,0,6,2,10.0,0.0,0.1,16,2000,0.0030278896465685,0.0023954434447095,0.0025821328874648,0.0020116964624055,400,0
gaussian,gaussian,riemannian,riemannian,0,7,2,10.0,0.0,0.1,16,2000,0.0030495800260309,0.0023039067527884,0.0027657910581899,0.000659480391334,400,0
