target_name,Lambda,epsilon,dt,c,h,batches_to_1e_minus_3,gap_final,spd_feasible,monotone,status
smooth_log_cosh,1000.0,0.01,0.2,0.25,0.0024962304655524454,94,2.220446049250313e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,0.2,0.5,0.004992460931104891,88,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,0.2,0.9,0.008986429675988804,82,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,0.5,0.0,0.0,25,2.220446049250313e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,0.5,0.25,0.0024962304655524454,46,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,0.5,0.5,0.004992460931104891,44,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,0.5,0.9,0.008986429675988804,42,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,1.0,0.0,0.0,16,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,1.0,0.25,0.0024962304655524454,30,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,1.0,0.5,0.004992460931104891,28,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.01,1.0,0.9,0.008986429675988804,28,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.05,0.0,0.0,252,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.05,0.25,0.0024962304655524454,312,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.05,0.5,0.004992460931104891,282,2.220446049250313e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.05,0.9,0.008986429675988804,254,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.1,0.0,0.0,129,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.1,0.25,0.0024962304655524454,174,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.1,0.5,0.004992460931104891,160,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.1,0.9,0.008986429675988804,146,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.2,0.0,0.0,67,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.2,0.25,0.0024962304655524454,98,2.220446049250313e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.2,0.5,0.004992460931104891,90,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.2,0.9,0.008986429675988804,84,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.5,0.0,0.0,31,2.220446049250313e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.5,0.25,0.0024962304655524454,48,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.5,0.5,0.004992460931104891,46,2.220446049250313e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,0.5,0.9,0.008986429675988804,42,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,1.0,0.0,0.0,19,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,1.0,0.25,0.0024962304655524454,32,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,1.0,0.5,0.004992460931104891,30,1.7763568394002505e-15,1,1,ok
smooth_log_cosh,1000.0,0.001,1.0,0.9,0.008986429675988804,28,1.7763568394002505e-15,1,1,ok
