target,lambda,method,alpha,beta,lambda_min,lambda_max,dt_ref,c,dt,N,T_actual,initial_gap,final_gap_raw,final_gap_for_logs,q_theory,r_theory,q_riem_theory_at_dt,q_kl_theory_at_dt,q_hat_terminal,r_hat_terminal,observed_contraction,observed_rate,theory_rate,observed_over_theory_rate_ratio,q_hat_fit,r_hat_fit,fit_num_points,fit_window_status,theory_terminal_bound,terminal_slack,log10_terminal_slack,floor_limited_final,r_continuous,theory_version,status
smooth_logconcave,0.01,riemannian,0.05,1.151,0.8688097306689835,20.0,0.043440486533449174,0.75,0.03258036490008688,461,15.019548218940052,17.93624115535083,1.5023404742464663e-10,1.5023404742464663e-10,0.9982308663716286,0.05434869740868657,0.9982308663716286,0.9996083855411974,0.9461758969265581,1.6981635972976663,0.9461758969265581,1.6981635972976663,0.05434869740868657,31.245709249072974,0.9441894532558954,1.7626702813284476,325,ok,7.929027798392433,52777835213.2157,10.72245157280643,0,0.08688097306689835,kl_beta_lambda_max_no_cubic_penalty,ok
smooth_logconcave,0.01,riemannian,0.05,1.151,0.8688097306689835,20.0,0.043440486533449174,1.0,0.043440486533449174,346,15.030408340573414,17.93624115535083,1.3419443334328207e-10,1.3419443334328207e-10,0.9981129241297372,0.04348152591816406,0.9981129241297372,0.999547871705522,0.9286326295671016,1.7044483492150995,0.9286326295671016,1.7044483492150995,0.04348152591816406,39.19936831156792,0.9259309945656107,1.7715171528061961,242,ok,9.330403128936844,69528987875.88893,10.842165907465356,0,0.08688097306689835,kl_beta_lambda_max_no_cubic_penalty,ok
smooth_logconcave,0.01,kl,0.05,1.151,0.8688097306689835,20.0,0.043440486533449174,0.05,0.002172024326672459,6906,15.000000000000002,17.93624115535083,2.105853269540603e-10,2.105853269540603e-10,0.9999551670005021,0.02064157568415211,0.9998160101026494,0.9999551670005021,0.9963622721379572,1.6778635668535489,0.9963622721379572,1.6778635668535489,0.02064157568415211,81.28563402946776,0.9962413117314233,1.7337604564180575,4949,ok,13.160233597403737,62493592444.23841,10.79583549080383,0,0.08688097306689835,kl_beta_lambda_max_no_cubic_penalty,ok
smooth_logconcave,0.01,kl,0.05,1.151,0.8688097306689835,20.0,0.043440486533449174,0.1,0.004344048653344918,3453,15.000000000000002,17.93624115535083,2.1591195498160687e-10,2.1591195498160687e-10,0.9999145948283,0.01966111011752715,0.9996414555846501,0.9999145948283,0.9927449590558165,1.676198247915513,0.9927449590558165,1.676198247915513,0.01966111011752715,85.25450688673192,0.9925070287848535,1.7313766826667734,2478,ok,13.355211187485649,61854894457.43453,10.79137407020208,0,0.08688097306689835,kl_beta_lambda_max_no_cubic_penalty,ok
smooth_logconcave,0.01,kl,0.05,1.151,0.8688097306689835,20.0,0.043440486533449174,0.25,0.010860121633362294,1382,15.00868809730669,17.93624115535083,2.2975155111737422e-10,2.2975155111737422e-10,0.9998133197828386,0.017191119067071384,0.9991744043067601,0.9998133197828386,0.9820154630635839,1.671088489036815,0.9820154630635839,1.671088489036815,0.017191119067071384,97.20649845522217,0.9814468515267817,1.724420555950811,994,ok,13.857230683924731,60313980978.72003,10.780417994695982,0,0.08688097306689835,kl_beta_lambda_max_no_cubic_penalty,ok
smooth_logconcave,0.01,kl,0.05,1.151,0.8688097306689835,20.0,0.043440486533449174,0.5,0.021720243266724587,691,15.00868809730669,17.93624115535083,2.6026625299380157e-10,2.6026625299380157e-10,0.9996921734230907,0.014174517359429005,0.9985846930973029,0.9996921734230907,0.9645284250507291,1.6627795253444726,0.9645284250507291,1.6627795253444726,0.014174517359429005,117.30766439383406,0.9634933332308978,1.712214270319598,501,ok,14.499039438144445,55708488024.72194,10.74592137150143,0,0.08688097306689835,kl_beta_lambda_max_no_cubic_penalty,ok
smooth_logconcave,0.01,kl,0.05,1.151,0.8688097306689835,20.0,0.043440486533449174,0.75,0.03258036490008688,461,15.019548218940052,17.93624115535083,2.900868434352333e-10,2.900868434352333e-10,0.9996083855411974,0.012022307330549056,0.9982308663716286,0.9996083855411974,0.9475273393344876,1.6543549597508336,0.9475273393344876,1.6543549597508336,0.012022307330549056,137.60710937301246,0.9461243971925045,1.6998342607850498,336,ok,14.973076478608352,51615841315.98626,10.712783010547339,0,0.08688097306689835,kl_beta_lambda_max_no_cubic_penalty,ok
smooth_logconcave,0.01,kl,0.05,1.151,0.8688097306689835,20.0,0.043440486533449174,1.0,0.043440486533449174,346,15.030408340573414,17.93624115535083,3.2317526432734667e-10,3.2317526432734667e-10,0.999547871705522,0.010410346922464538,0.9981129241297372,0.999547871705522,0.9309945295906771,1.64597322154135,0.9309945295906771,1.64597322154135,0.010410346922464538,158.109353492293,0.9293442599908768,1.6868144020455336,253,ok,15.33827818798467,47461176275.076584,10.676338497544288,0,0.08688097306689835,kl_beta_lambda_max_no_cubic_penalty,ok
smooth_logconcave,0.1,riemannian,0.05,1.1600000000000001,0.8620689655172413,20.0,0.043103448275862065,0.05,0.0021551724137931034,6960,15.0,16.171605811848092,2.9034930015825466e-10,2.9034930015825466e-10,0.9998188540428062,0.0840593378723958,0.9998188540428062,0.9999558592439571,0.9964512552071122,1.6495462274134725,0.9964512552071122,1.6495462274134725,0.0840593378723958,19.62359291858241,0.9963725998531312,1.6861737338270146,5095,ok,4.583060052072126,15784643012.998938,10.198234764293625,0,0.08620689655172414,kl_beta_lambda_max_no_cubic_penalty,ok
smooth_logconcave,0.1,riemannian,0.05,1.1600000000000001,0.8620689655172413,20.0,0.043103448275862065,0.1,0.004310344827586207,3480,15.0,16.171605811848092,2.852473812708922e-10,2.852473812708922e-10,0.9996469976218787,0.0819110099655308,0.9996469976218787,0.9999159121180728,0.9929100458922565,1.6507280856299311,0.9929100458922565,1.6507280856299311,0.0819110099655308,20.1527009168191,0.9927515136460277,1.6877731510657576,2545,ok,4.733154186343995,16593155615.507784,10.21992898614968,0,0.08620689655172414,kl_beta_lambda_max_no_cubic_penalty,ok
