target,lambda,method,c,dt,eps,N_obs,T_obs,obs_status,N_theory,T_theory,theory_status,N_theory_over_N_obs
gaussian_posterior,1.0,riemannian,0.75,0.375,1e-08,26,9.75,reached,87,32.625,ok,3.3461538461538463
gaussian_posterior,1.0,riemannian,1.0,0.5,0.0001,12,6.0,reached,49,24.5,ok,4.083333333333333
gaussian_posterior,1.0,riemannian,1.0,0.5,1e-06,15,7.5,reached,65,32.5,ok,4.333333333333333
gaussian_posterior,1.0,riemannian,1.0,0.5,1e-08,18,9.0,reached,81,40.5,ok,4.5
gaussian_posterior,1.0,kl,0.05,0.025,0.0001,289,7.2250000000000005,reached,2373,59.325,ok,8.211072664359861
gaussian_posterior,1.0,kl,0.05,0.025,1e-06,380,9.5,reached,3164,79.10000000000001,ok,8.326315789473684
gaussian_posterior,1.0,kl,0.05,0.025,1e-08,471,11.775,reached,3954,98.85000000000001,ok,8.394904458598726
gaussian_posterior,1.0,kl,0.1,0.05,0.0001,144,7.2,reached,1270,63.5,ok,8.819444444444445
gaussian_posterior,1.0,kl,0.1,0.05,1e-06,189,9.450000000000001,reached,1694,84.7,ok,8.962962962962964
gaussian_posterior,1.0,kl,0.1,0.05,1e-08,233,11.65,reached,2117,105.85000000000001,ok,9.085836909871245
gaussian_posterior,1.0,kl,0.25,0.125,0.0001,56,7.0,reached,615,76.875,ok,10.982142857142858
gaussian_posterior,1.0,kl,0.25,0.125,1e-06,73,9.125,reached,820,102.5,ok,11.232876712328768
gaussian_posterior,1.0,kl,0.25,0.125,1e-08,91,11.375,reached,1025,128.125,ok,11.263736263736265
gaussian_posterior,1.0,kl,0.5,0.25,0.0001,27,6.75,reached,408,102.0,ok,15.11111111111111
gaussian_posterior,1.0,kl,0.5,0.25,1e-06,35,8.75,reached,544,136.0,ok,15.542857142857143
gaussian_posterior,1.0,kl,0.5,0.25,1e-08,43,10.75,reached,680,170.0,ok,15.813953488372093
gaussian_posterior,1.0,kl,0.75,0.375,0.0001,17,6.375,reached,348,130.5,ok,20.470588235294116
gaussian_posterior,1.0,kl,0.75,0.375,1e-06,23,8.625,reached,464,174.0,ok,20.17391304347826
gaussian_posterior,1.0,kl,0.75,0.375,1e-08,28,10.5,reached,580,217.5,ok,20.714285714285715
gaussian_posterior,1.0,kl,1.0,0.5,0.0001,13,6.5,reached,325,162.5,ok,25.0
