target,scheme,d,kappa,alpha,beta,dt,lambda0,log_inv_beta_lambda0,inv_lambda0,N_cov,N_cov_envelope,N_cov_theory_slope,gap0,gap_final,min_eig_final,n_iters,wall_time,status
gaussian,kl,10,1000.0,1.0,1000.0,0.5,1e-08,11.512925464970229,100000000.0,29,29,2.4663034623764317,114.83402484909955,0.0,0.0009999999999999992,200,0.010792137123644352,ok
gaussian,riemannian,10,1000.0,1.0,1000.0,0.5,1e-06,6.907755278982137,1000000.0,14,15,2.4663034623764317,91.8090972716716,8.881784197001252e-16,0.0009999999999999996,200,0.009182064794003963,ok
gaussian,kl,10,1000.0,1.0,1000.0,0.5,1e-06,6.907755278982137,1000000.0,18,18,2.4663034623764317,91.8090972716716,0.0,0.0009999999999999992,200,0.01082991249859333,ok
gaussian,riemannian,10,1000.0,1.0,1000.0,0.5,0.0001,2.302585092994046,10000.0,5,6,2.4663034623764317,68.8755815929818,8.881784197001252e-16,0.0009999999999999996,200,0.009168436750769615,ok
gaussian,kl,10,1000.0,1.0,1000.0,0.5,0.0001,2.302585092994046,10000.0,6,6,2.4663034623764317,68.8755815929818,0.0,0.0009999999999999992,200,0.010819211602210999,ok
gaussian,riemannian,10,1000.0,1.0,1000.0,0.5,0.01,-2.3025850929940455,100.0,0,0,2.4663034623764317,55.083255788107905,0.0,0.0009999999999999996,200,0.009107927791774273,ok
gaussian,kl,10,1000.0,1.0,1000.0,0.5,0.01,-2.3025850929940455,100.0,0,0,2.4663034623764317,55.083255788107905,0.0,0.001,200,0.01090399269014597,ok
gaussian,riemannian,20,10.0,1.0,10.0,0.5,1e-10,20.72326583694641,10000000000.0,42,43,2.4663034623764317,298.74558383842714,0.0,0.09999999999999995,200,0.01110207661986351,ok
gaussian,kl,20,10.0,1.0,10.0,0.5,1e-10,20.72326583694641,10000000000.0,52,52,2.4663034623764317,298.74558383842714,1.7763568394002505e-15,0.09999999999999994,200,0.01315817330032587,ok
gaussian,riemannian,20,10.0,1.0,10.0,0.5,1e-08,16.11809565095832,100000000.0,32,34,2.4663034623764317,252.69388237382952,0.0,0.09999999999999995,200,0.011088569648563862,ok
gaussian,kl,20,10.0,1.0,10.0,0.5,1e-08,16.11809565095832,100000000.0,40,40,2.4663034623764317,252.69388237382952,1.7763568394002505e-15,0.09999999999999994,200,0.013125939294695854,ok
gaussian,riemannian,20,10.0,1.0,10.0,0.5,1e-06,11.512925464970229,1000000.0,23,24,2.4663034623764317,206.64222004228537,0.0,0.09999999999999995,200,0.010992645286023617,ok
gaussian,kl,20,10.0,1.0,10.0,0.5,1e-06,11.512925464970229,1000000.0,29,29,2.4663034623764317,206.64222004228537,1.7763568394002505e-15,0.09999999999999994,200,0.013419960625469685,ok
gaussian,riemannian,20,10.0,1.0,10.0,0.5,0.0001,6.907755278982137,10000.0,14,15,2.4663034623764317,160.5944710160757,0.0,0.09999999999999995,200,0.011110804043710232,ok
gaussian,kl,20,10.0,1.0,10.0,0.5,0.0001,6.907755278982137,10000.0,18,18,2.4663034623764317,160.5944710160757,1.7763568394002505e-15,0.09999999999999994,200,0.013558289036154747,ok
gaussian,riemannian,20,10.0,1.0,10.0,0.5,0.01,2.302585092994046,100.0,5,6,2.4663034623764317,114.93805252331964,0.0,0.09999999999999995,200,0.010857046581804752,ok
gaussian,kl,20,10.0,1.0,10.0,0.5,0.01,2.302585092994046,100.0,6,6,2.4663034623764317,114.93805252331964,1.7763568394002505e-15,0.09999999999999994,200,0.013116777874529362,ok
gaussian,riemannian,20,100.0,1.0,100.0,0.5,1e-10,18.420680743952367,10000000000.0,37,38,2.4663034623764317,287.23265839251167,-1.7763568394002505e-15,0.009999999999999998,200,0.01091309916228056,ok
gaussian,kl,20,100.0,1.0,100.0,0.5,1e-10,18.420680743952367,10000000000.0,46,46,2.4663034623764317,287.23265839251167,0.0,0.010000000000000002,200,0.013512682169675827,ok
gaussian,riemannian,20,100.0,1.0,100.0,0.5,1e-08,13.815510557964274,100000000.0,28,29,2.4663034623764317,241.1809588143413,-1.7763568394002505e-15,0.009999999999999998,200,0.011011087335646152,ok
gaussian,kl,20,100.0,1.0,100.0,0.5,1e-08,13.815510557964274,100000000.0,35,35,2.4663034623764317,241.1809588143413,0.0,0.010000000000000002,200,0.013223887421190739,ok
gaussian,riemannian,20,100.0,1.0,100.0,0.5,1e-06,9.210340371976184,1000000.0,19,20,2.4663034623764317,195.1294851255115,-1.7763568394002505e-15,0.009999999999999998,200,0.011057302355766296,ok
gaussian,kl,20,100.0,1.0,100.0,0.5,1e-06,9.210340371976184,1000000.0,23,23,2.4663034623764317,195.1294851255115,0.0,0.010000000000000002,200,0.013373207300901413,ok
gaussian,riemannian,20,100.0,1.0,100.0,0.5,0.0001,4.605170185988092,10000.0,9,10,2.4663034623764317,149.10060037074572,-1.7763568394002505e-15,0.009999999999999998,200,0.011132562533020973,ok
gaussian,kl,20,100.0,1.0,100.0,0.5,0.0001,4.605170185988092,10000.0,12,12,2.4663034623764317,149.10060037074572,0.0,0.010000000000000002,200,0.013048334047198296,ok
gaussian,riemannian,20,100.0,1.0,100.0,0.5,0.01,0.0,100.0,0,0,2.4663034623764317,105.33060902237465,-1.7763568394002505e-15,0.010000000000000002,200,0.010979116894304752,ok
gaussian,kl,20,100.0,1.0,100.0,0.5,0.01,0.0,100.0,0,0,2.4663034623764317,105.33060902237465,0.0,0.010000000000000002,200,0.013182436116039753,ok
gaussian,riemannian,20,1000.0,1.0,1000.0,0.5,1e-10,16.11809565095832,10000000000.0,32,34,2.4663034623764317,275.71973306841795,0.0,0.0009999999999999996,200,0.011006935499608517,ok
gaussian,kl,20,1000.0,1.0,1000.0,0.5,1e-10,16.11809565095832,10000000000.0,40,40,2.4663034623764317,275.71973306841795,1.7763568394002505e-15,0.0009999999999999992,200,0.013229676522314548,ok
gaussian,riemannian,20,1000.0,1.0,1000.0,0.5,1e-08,11.512925464970229,100000000.0,23,24,2.4663034623764317,229.66804743702096,0.0,0.0009999999999999996,200,0.010847432538866997,ok
gaussian,kl,20,1000.0,1.0,1000.0,0.5,1e-08,11.512925464970229,100000000.0,29,29,2.4663034623764317,229.66804743702096,1.7763568394002505e-15,0.0009999999999999992,200,0.01314871571958065,ok
gaussian,riemannian,20,1000.0,1.0,1000.0,0.5,1e-06,6.907755278982137,1000000.0,14,15,2.4663034623764317,183.61796842552866,0.0,0.0009999999999999996,200,0.011175214312970638,ok
gaussian,kl,20,1000.0,1.0,1000.0,0.5,1e-06,6.907755278982137,1000000.0,18,18,2.4663034623764317,183.61796842552866,1.7763568394002505e-15,0.0009999999999999992,200,0.013106637634336948,ok
gaussian,riemannian,20,1000.0,1.0,1000.0,0.5,0.0001,2.302585092994046,10000.0,5,6,2.4663034623764317,137.7285514045107,0.0,0.0009999999999999996,200,0.010931743308901787,ok
gaussian,kl,20,1000.0,1.0,1000.0,0.5,0.0001,2.302585092994046,10000.0,6,6,2.4663034623764317,137.7285514045107,1.7763568394002505e-15,0.0009999999999999992,200,0.013178949244320393,ok
gaussian,riemannian,20,1000.0,1.0,1000.0,0.5,0.01,-2.3025850929940455,100.0,0,0,2.4663034623764317,107.90533343092419,0.0,0.0009999999999999996,200,0.010889923200011253,ok
gaussian,kl,20,1000.0,1.0,1000.0,0.5,0.01,-2.3025850929940455,100.0,0,0,2.4663034623764317,107.90533343092419,0.0,0.001,200,0.013138306327164173,ok
