potential_family,N_theta,kappa_target,gamma_loc_mean,gamma_loc_std,gamma_loc_min,inverse_gamma_loc_mean,inverse_gamma_over_logkappa_mean,tau_H_sq_mean,coupling_bound_rate_mean,gamma_over_coupling_bound_min,Lambda_hat_full_sym_mean,Lambda_hat_diag_mean,Lambda_hat_separable_exact_mean,current_bound_rate,conjecture_bound_rate,self_adjoint_error_L_star_max,n_seeds
radial_tail,4,100.0,0.9999999999999992,1.5700924586837752e-16,0.9999999999999991,1.0000000000000009,0.17840671501818436,1.8739571257733998e-34,0.3333333333333333,2.9999999999999973,0.3084453681879536,0.3030867498526568,,0.20079522862823063,0.02559495781739623,1.7763568394002505e-15,3
radial_tail,8,10.0,0.9999999999999986,3.4219371797089426e-16,0.9999999999999982,1.0000000000000016,0.3027931065641143,4.3587540163782686e-34,0.3333333333333333,2.9999999999999947,0.3234318971989591,0.29454487649234856,,0.20754716981132074,0.04054578386931515,1.7763568394002505e-15,3
radial_tail,8,50.0,0.9999999999999994,1.1102230246251565e-16,0.9999999999999993,1.0000000000000007,0.20358210840929025,4.8679525143690424e-34,0.3333333333333333,2.9999999999999982,0.37223995414609234,0.34163743752217995,,0.2015810276679842,0.02879078069520258,3.9968028886505635e-15,3
radial_tail,8,100.0,0.9999999999999988,5.926969055564841e-16,0.9999999999999983,1.000000000000001,0.1784067150181844,4.897061194937224e-34,0.3333333333333333,2.999999999999995,0.366263699087446,0.34044808944534116,,0.20079522862823063,0.02559495781739623,3.9968028886505635e-15,3
radial_tail,12,10.0,0.9728104317645395,0.015227628644491457,0.9569789866482644,1.0281177906300478,0.31130697973870536,1.1661302028251104e-33,0.3333333333333333,2.8709369599447934,0.3856913997967602,0.3066338264818805,,0.20754716981132074,0.04054578386931515,3.552713678800501e-15,3
radial_tail,12,50.0,0.9820765501190731,0.0062752644832683255,0.9749203395053692,1.0182783714946384,0.2073032578164569,1.3692869513125914e-33,0.3333333333333333,2.9247610185161075,0.3920527464770942,0.321264747415336,,0.2015810276679842,0.02879078069520258,5.329070518200751e-15,3
radial_tail,12,100.0,0.9874548175663417,0.004180616222221749,0.9846218755782531,1.012716637009258,0.18067544845308459,1.5680454201912726e-33,0.3333333333333333,2.9538656267347596,0.41940571768304036,0.3562715880456646,,0.20079522862823063,0.02559495781739623,1.7763568394002505e-15,3
random_feature,4,10.0,0.918530806253672,0.030723889585681508,0.8831037392832655,1.0895235806946444,0.32990022967338833,0.008090364661228299,0.33243710591399345,2.659806370290034,0.11089327216150953,0.04572735122802087,,0.20754716981132074,0.04054578386931515,8.881784197001252e-16,3
random_feature,4,50.0,0.904463402614805,0.03134739871142383,0.8682936624351371,1.106532026908147,0.2252701230603659,0.011655503925276367,0.33204376823218856,2.619234090258258,0.12511325083416644,0.046631631555304275,,0.2015810276679842,0.02879078069520258,7.963000479291778e-16,3
random_feature,4,100.0,0.9079093973314659,0.03155781765465268,0.8718143231578136,1.102336048386649,0.19666415323878816,0.011923634768702132,0.33201427155458935,2.6303439902944508,0.13555848778377264,0.06637211629883294,,0.20079522862823063,0.02559495781739623,9.108245573994505e-16,3
random_feature,8,10.0,0.907880039689374,0.02668790955729869,0.877727741342636,1.1021109375217775,0.333711594550507,0.014729852744866934,0.3317054584269377,2.6512038218885565,0.1426378954657295,0.08515938127277833,,0.20754716981132074,0.04054578386931515,2.886579864025407e-15,3
random_feature,8,50.0,0.8975856280822857,0.018718126777162277,0.8769846272848719,1.114425329230582,0.22687705818947915,0.019805060734794468,0.33114837562063815,2.6548677283064643,0.15998134025320607,0.07927905411450827,,0.2015810276679842,0.02879078069520258,1.9984014443252818e-15,3
random_feature,8,100.0,0.8949822956026382,0.024745941691038376,0.869860866273567,1.1179111814778475,0.19944286156955995,0.020784135656696404,0.3310417494649117,2.6354556494318735,0.17569794661205496,0.0979444867152696,,0.20079522862823063,0.02559495781739623,2.220446049250313e-15,3
random_feature,12,10.0,0.8843664252212351,0.004143750595766053,0.8804838092223386,1.1307695502016424,0.342389224913661,0.014880617774502008,0.33168810146966715,2.6549757663658555,0.19382674659923152,0.07390886658353342,,0.20754716981132074,0.04054578386931515,5.329070518200751e-15,3
random_feature,12,50.0,0.8735845107244061,0.0018604777282810927,0.8717651701346956,1.1447124017057257,0.2330429642615139,0.018731067106411214,0.331265040844319,2.63067837452425,0.18225869527404445,0.05882097504968601,,0.2015810276679842,0.02879078069520258,3.779639688284789e-15,3
random_feature,12,100.0,0.8725208955613004,0.009130829594500803,0.8623058237104306,1.1461884121160981,0.2044877093975418,0.02026229710196154,0.3310970831049675,2.6042631280128328,0.18967890043451593,0.05410424947444457,,0.20079522862823063,0.02559495781739623,1.7763568394002505e-15,3
