family,N_theta,kappa_target,seed,alpha_target,beta_target,rho,L_A,L_A_is_empirical,norm_mean_grad,norm_mean_hess_minus_I,empirical_min_hess_eig,empirical_max_hess_eig,M_mc,Lambda_hat,log_kappa_factor,Gamma_current,current_bound_rate,D_kappa,conjecture_bound_rate,lambda_over_logkappa
radial_tail,4,2.0,2,0.6666666666666667,1.3333333333333333,0.13098821981728254,2.5447580996085377,True,3.8042331464933514e-17,0.0,0.9309771398868554,1.1666666666666667,32768,0.11288115335359777,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.06666942759002589
radial_tail,4,2.0,3,0.6666666666666667,1.3333333333333333,0.13127788651159955,2.5391430513613606,True,2.0665105106169762e-17,0.0,0.9307419778263428,1.1666666666666667,32768,0.12306887123164365,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.07268645788427158
radial_tail,4,2.0,4,0.6666666666666667,1.3333333333333333,0.1313487602948596,2.5377729685841466,True,3.681195663078853e-17,0.0,0.9307913232873498,1.1666666666666667,32768,0.11227053692898414,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.06630878769313772
radial_tail,4,2.0,5,0.6666666666666667,1.3333333333333333,0.13186150462539684,2.527904821655831,True,4.926382413163749e-17,0.0,0.9300308282957046,1.1666666666666667,32768,0.15028836069214452,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.08876272684247227
radial_tail,4,2.0,6,0.6666666666666666,1.3333333333333335,0.13112274478656258,2.542147313007539,True,3.6317610531076183e-17,0.0,0.9306020253665059,1.1666666666666667,32768,0.14219302056705865,1.6931471805599454,0.3333333333333335,0.23076923076923073,10.593612732980475,0.06852312846017043,0.0839814885555511
radial_tail,4,2.0,7,0.6666666666666667,1.3333333333333333,0.13075079613339646,2.549378995698467,True,2.874707788252895e-17,0.0,0.931304909399701,1.1666666666666667,32768,0.11774814962750947,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.06954395399256942
radial_tail,4,2.0,8,0.6666666666666667,1.3333333333333333,0.13143750057835962,2.5360595862412083,True,4.9281832121213016e-17,0.0,0.9300733920075717,1.1666666666666665,32768,0.14194902945670437,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.08383738347528655
radial_tail,4,2.0,9,0.6666666666666667,1.3333333333333333,0.1309775387726669,2.5449656212573073,True,5.209687512125672e-17,0.0,0.9309394773514803,1.1666666666666667,32768,0.10896350891876082,1.6931471805599454,0.33333333333333326,0.23076923076923078,10.593612732980475,0.06852312846017043,0.06435560367689075
separable,4,5.0,0,0.33333333333333337,1.6666666666666665,1.1021879822875973,0.6048574992470851,False,1.6200052218522232e-17,0.0,0.3352108563321705,1.51243649460743,32768,0.0019023658180000855,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.0007290327962720317
separable,4,5.0,1,0.3333333333333335,1.6666666666666665,1.051945857803235,0.6337461778297773,False,1.621755326500622e-17,0.0,0.3842720323400852,1.6666666357309148,32768,0.003693810415369722,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.0014155578861518542
separable,4,5.0,2,0.33333333333333337,1.6666666666666665,0.7487110903789265,0.8904191152414521,False,2.2128958056372363e-17,0.0,0.5525926836451436,1.6666650398387013,32768,0.12618134179758533,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.048355755542726274
separable,4,5.0,3,0.33333333333333337,1.6666666666666665,0.7349191205475415,0.9071292990308589,False,1.8417138969910865e-17,0.0,0.5779697076434513,1.6666664007287282,32768,0.13117873394616755,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.05027087761739584
separable,4,5.0,4,0.33333333333333337,1.6666666666666665,0.9098168602588528,0.7327481999805903,False,2.1273887873665675e-17,0.0,0.45553320687866194,1.6666666655166265,32768,0.09811764214898347,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.037601064076461854
separable,4,5.0,5,0.33333333333333337,1.6666666666666665,1.043464713649947,0.6388971835326618,False,1.2425594748893279e-17,0.0,0.3831081402387707,1.6666666658991796,32768,0.026383709506534223,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.010110878431256994
separable,4,5.0,6,0.33333333333333337,1.6666666666666665,0.7364892151168596,0.9051954230733519,False,1.549142285842493e-17,0.0,0.5573916822672533,1.6666654440575686,32768,0.14166127014531255,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.054288040144695376
separable,4,5.0,7,0.33333333333333326,1.6666666666666667,1.0994023508504502,0.6063900683411875,False,7.892623351156143e-18,0.0,0.3361080755335394,1.5744867429201617,32768,0.0010623588384509927,2.6094379124341005,0.6666666666666667,0.21428571428571427,16.32662240617609,0.0491965649785553,0.0004071217151359687
separable,4,5.0,8,0.33333333333333337,1.6666666666666665,0.8865651903069643,0.7519657594901058,False,2.5866789362027676e-17,0.0,0.4778215275311969,1.6666666417349711,32768,0.09961348342422394,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.038174306792110584
separable,4,5.0,9,0.33333333333333337,1.6666666666666665,0.9132863099106048,0.7299645898906795,False,2.2332643412950768e-17,0.0,0.4574044151561092,1.6666666160126438,32768,0.0844250329417899,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.0323537235890919
additive_index,4,5.0,0,0.33333333333333337,1.6666666666666665,0.5840653183080434,1.1414248471350907,True,5.057248369050944e-17,0.0,0.6666666666666667,1.2635446806177262,32768,0.0692310702645986,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.026531027979132645
additive_index,4,5.0,1,0.33333333333333337,1.6666666666666665,0.6348053085907475,1.0501907555666958,True,3.767946399481819e-17,0.0,0.720788561098723,1.3333333333333333,32768,0.08731054133264224,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.03345952050309502
additive_index,4,5.0,2,0.33333333333333337,1.6666666666666665,0.5891299688355084,1.1316122111126337,True,3.000748908188365e-17,0.0,0.6666666666666667,1.2359469013225521,32768,0.03682969215546442,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.014114032750106496
additive_index,4,5.0,3,0.33333333333333337,1.6666666666666665,0.5848381964277177,1.1399164260111085,True,3.3846093860357713e-17,0.0,0.6666666666666667,1.319970149461719,32768,0.04582184057411989,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.017560042473429453
additive_index,4,5.0,4,0.33333333333333337,1.6666666666666665,0.4023340658525801,1.656997811641784,True,4.591025527580167e-17,0.0,0.8036766374342348,1.3333333333333333,32768,0.06363470873744063,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.024386366287627734
additive_index,4,5.0,5,0.33333333333333337,1.6666666666666665,0.6601270864220716,1.009906547358994,True,1.3119854352162517e-16,0.0,0.7008829119112048,1.3333333333333333,32768,0.08219173556130017,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.03149786977864179
additive_index,4,5.0,6,0.33333333333333337,1.6666666666666665,0.5625433740810498,1.1850938032213227,True,2.847599116977848e-17,0.0,0.7158809703147861,1.3333333333333333,32768,0.05395319725147433,2.6094379124341005,0.6666666666666665,0.2142857142857143,16.32662240617609,0.0491965649785553,0.020676175889981777
