potential_family,N_theta,kappa_target,Lambda_hat_full_sym_mean,Lambda_hat_full_sym_std,Lambda_hat_diag_mean,Lambda_hat_separable_exact_mean,full_minus_diag_mean,lambda_over_logkappa_mean,self_adjoint_error_H_sym_max,n_seeds
gaussian,9,2.0,0.0096177478787008,0.0012834051455656943,0.004043590122938334,-2.1684908619625856e-16,0.0055741577557624,0.005680396830900466,1.0408340855860844e-17,3
gaussian,9,5.0,0.009769721240862934,0.0007981320623588081,0.0035135722767991,-2.1684908619625856e-16,0.006256148964063767,0.0037439945186316334,1.0408340855860844e-17,3
gaussian,9,10.0,0.011309510447026902,0.0021877399677015857,0.005882711031085167,-2.1684908619625856e-16,0.005426799415941701,0.0034244418019745335,1.0408340855860844e-17,3
gaussian,9,20.0,0.010503258626107867,0.001399995598170419,0.006229793637891866,-2.1684908619625856e-16,0.004273464988215934,0.0026286192134603995,1.0408340855860844e-17,3
gaussian,9,50.0,0.0088397128776576,0.0022003815445927576,0.0027257949466308,-2.1684908619625856e-16,0.006113917931026766,0.0017996073853662334,6.938893903907228e-18,3
gaussian,9,100.0,0.009556878933587167,0.0018701910552547663,0.003773301605330667,-2.1684908619625856e-16,0.005783577328256466,0.0017050113763677332,1.3877787807814457e-17,3
gaussian,10,2.0,0.011738959297787066,0.0003145988253834915,0.004110447065836033,-2.1684908619625856e-16,0.007628512231950967,0.006933218465924967,1.3877787807814457e-17,3
gaussian,10,5.0,0.012243314954149834,0.001282845919364852,0.006252643416305033,-2.1684908619625856e-16,0.0059906715378447335,0.004691935721409467,8.673617379884035e-18,3
gaussian,10,10.0,0.012585215248180301,0.003615891049565136,0.005648835598490933,-2.1684908619625856e-16,0.006936379649689266,0.003810716421774533,1.214306433183765e-17,3
gaussian,10,20.0,0.011641939831998134,0.0022355109644726576,0.005246733734746632,-2.1684908619625856e-16,0.006395206097251433,0.002913593563075,1.214306433183765e-17,3
gaussian,10,50.0,0.011792781196753933,0.0025277150795757447,0.005506983426393201,-2.1684908619625856e-16,0.006285797770360701,0.0024007992600445336,1.5612511283791264e-17,3
gaussian,10,100.0,0.010909322898901902,0.0019522179924802907,0.004450402714416067,-2.1684908619625856e-16,0.006458920184485767,0.0019462964614657,6.938893903907228e-18,3
gaussian,11,2.0,0.012867746446023634,0.003986227324408999,0.0047838402946388005,-2.1684908619625856e-16,0.008083906151384832,0.007599898339474567,1.3877787807814457e-17,3
gaussian,11,5.0,0.013049745265962165,0.00048004546436892896,0.005217392110571767,-2.1684908619625856e-16,0.007832353155390333,0.0050009794077795,1.0408340855860844e-17,3
gaussian,11,10.0,0.01275754331686,0.0014915242184534905,0.005163508276285199,-2.1684908619625856e-16,0.0075940350405747335,0.0038628961730382667,2.0816681711721685e-17,3
gaussian,11,20.0,0.011312560774585098,0.0019427348861000499,0.0038620381603851335,-2.1684908619625856e-16,0.0074505226141999,0.0028311608486529002,1.0408340855860844e-17,3
gaussian,11,50.0,0.0135492641976947,0.00200320235231195,0.005538082819704466,-2.1684908619625856e-16,0.0080111813779902,0.0027583877727611664,1.0408340855860844e-17,3
gaussian,11,100.0,0.0137091003536559,0.002200647498868,0.0050409258420713665,-2.1684908619625856e-16,0.008668174511584466,0.0024457955599503332,1.908195823574488e-17,3
gaussian,12,2.0,0.016859948983986166,0.0028401430254443027,0.006412314211938966,-2.1684908619625856e-16,0.010447634772047167,0.009957757469383368,2.775557561562892e-17,3
gaussian,12,5.0,0.014223736648797967,0.0016073404943988759,0.005090472728511666,-2.1684908619625856e-16,0.009133263920286233,0.005450881425850766,1.214306433183765e-17,3
gaussian,12,10.0,0.014194852614137866,0.001926122739820714,0.004886702066543266,-2.1684908619625856e-16,0.009308150547594533,0.004298103520254534,1.3877787807814457e-17,3
gaussian,12,20.0,0.01644044768287613,0.0039234307380661025,0.007324915535805166,-2.1684908619625856e-16,0.009115532147070967,0.0041145018127686,1.3877787807814457e-17,3
gaussian,12,50.0,0.011973578755333133,0.0008957784280847955,0.002940322814535767,-2.1684908619625856e-16,0.009033255940797333,0.0024376064082153666,1.3877787807814457e-17,3
gaussian,12,100.0,0.014842133214447134,0.00105094426963524,0.0060740351027305335,-2.1684908619625856e-16,0.008768098111716534,0.002647936230651767,1.3877787807814457e-17,3
gaussian,13,2.0,0.0155908074742376,0.0024940425942050213,0.005640811637000867,-2.1684908619625856e-16,0.0099499958372367,0.009208182048935332,1.3877787807814457e-17,3
