family,kappa,scheme,arm,gamma,dt_nominal,dt_mean,s_train,N_train,x0,initial_gap,final_gap,final_rel_gap,n_steps,n_half,n_tol,tol_rel,n_half_over_N_train,shadow_mean_err_over_w,shadow_cov_err,cA_min,cA_max,c_min,c_max,max_energy_increase,monotone,status
manuscript,1024.0,riemannian,theory,0.5,0.00048828125,0.00048828125,4.76837158203125e-07,262144,8796093022208.0,3.9661773888770365e+25,3.965494961838396e+19,9.998279383467432e-07,290176,273227,290176,1e-06,1.0422782897949219,0.0,0.0,0.0009765624999999999,0.9999999999999999,0.0009765625,0.9988399912345812,0.0,1,ok
manuscript,1024.0,kl,theory,0.5,0.00048828125,0.00048828125,4.76837158203125e-07,262144,8796093022208.0,3.9661773888770365e+25,3.965327454708238e+19,9.997857044490289e-07,290180,273229,290180,1e-06,1.0422859191894531,0.0,0.0,0.0009765624999999999,0.9999999999999999,0.0009765625,0.998836465989337,0.0,1,ok
manuscript,1024.0,riemannian,const,0.5,0.5,0.5,4.76837158203125e-07,262144,8796093022208.0,3.9661773888770365e+25,1.6826820864085295e+19,4.2425789908629266e-07,26,14,26,1e-06,5.340576171875e-05,2146719793.4763033,1022.0107094316681,0.0009765624999999999,0.9999999999999999,0.0009765625,0.9995165978618333,0.0,1,ok
manuscript,1024.0,kl,const,0.5,0.5,0.5,4.76837158203125e-07,262144,8796093022208.0,3.9661773888770365e+25,1.5894779079576703e+19,4.007581487442515e-07,30,16,30,1e-06,6.103515625e-05,2146824138.1882331,1010.8538630318342,0.0009765624999999999,0.9999999999999999,0.0009765625,0.9920609692411055,0.0,1,ok
retuned,8.0,riemannian,theory,0.5,0.0625,0.0625,0.0078125,16,32768.0,547730091.8086157,503.53711457495007,9.193161414817661e-07,156,34,156,1e-06,2.125,0.0,0.0,0.12499999999999999,0.9999999999999999,0.125,0.9990485182476126,0.0,1,ok
retuned,8.0,kl,theory,0.5,0.0625,0.0625,0.0078125,16,32768.0,547730091.8086157,535.7033693842378,9.780426114901495e-07,157,34,157,1e-06,2.125,0.0,0.0,0.12499999999999999,0.9999999999999999,0.125,0.9985598069852211,0.0,1,ok
retuned,8.0,riemannian,const,0.5,0.5,0.5,0.0625,2,4096.0,8645529.529238086,3.4175304579721204,3.952945214534824e-07,18,5,18,1e-06,2.5,0.0,0.0,0.12499999999999999,0.9999999999999999,0.125,0.9994847364957724,0.0,1,ok
retuned,8.0,kl,const,0.5,0.5,0.5,0.0625,2,4096.0,8645529.529238086,7.9348370601679274,9.177965367341947e-07,19,5,19,1e-06,2.5,0.0,0.0,0.12499999999999999,0.9999999999999999,0.125,0.9894553037039733,0.0,1,ok
retuned,16.0,riemannian,theory,0.5,0.03125,0.03125,0.001953125,64,524288.0,140507570642.3216,132165.93696777377,9.406321407706748e-07,368,114,368,1e-06,1.78125,0.0,0.0,0.06249999999999999,0.9999999999999999,0.0625,0.9989599210181482,0.0,1,ok
retuned,16.0,kl,theory,0.5,0.03125,0.03125,0.001953125,64,524288.0,140507570642.3216,139493.46931566016,9.927825858633414e-07,369,114,369,1e-06,1.78125,0.0,0.0,0.06249999999999999,0.9999999999999999,0.0625,0.9987031690302706,0.0,1,ok
