potential_family,N_theta,kappa_target,M_mc,Lambda_hat_full_sym_mean,Lambda_hat_full_sym_std,Lambda_hat_raw_forward_mean,Lambda_hat_raw_forward_std,Lambda_hat_diag_mean,Lambda_hat_diag_std,Lambda_hat_separable_exact_mean,Lambda_hat_separable_exact_std,Lambda_true_mean,Lambda_true_std,gamma_loc_mean,gamma_loc_std,gamma_true_mean,gamma_true_std,inverse_gamma_loc_mean,inverse_gamma_loc_std,full_sym_minus_exact_mean,full_sym_minus_exact_std,full_sym_minus_diag_mean,full_sym_minus_diag_std,full_sym_minus_gaussian_mean,full_sym_minus_gaussian_std,full_sym_minus_separable_mean,full_sym_minus_separable_std,full_sym_over_separable_mean,full_sym_over_separable_std,full_sym_minus_separable_exact_mean,full_sym_minus_separable_exact_std,diag_minus_exact_mean,diag_minus_exact_std,abs_diag_minus_exact_mean,abs_diag_minus_exact_std,gamma_minus_gaussian_mean,gamma_minus_gaussian_std,gamma_minus_separable_mean,gamma_minus_separable_std,inverse_gamma_minus_gaussian_inverse_mean,inverse_gamma_minus_gaussian_inverse_std,self_adjoint_error_H_sym_mean,self_adjoint_error_H_sym_std,self_adjoint_error_L_star_mean,self_adjoint_error_L_star_std,n_seeds,baseline_correction_status,is_largest_M_row
gaussian,12,5.0,1048576,0.02898120756411891,0.0012888910524232512,0.0015989532405134702,0.0021022387309745975,0.01205582934913677,0.002929583148504648,-2.1684908619625858e-16,0.0,0.0,0.0,0.9861216273609531,0.0006440144347322087,1.0,0.0,1.0140739808809187,0.0006621529553800058,0.028981207564119125,0.0012888910524232512,0.016925378214982138,0.00233298305207513,0.0,0.0,-0.017049646917155003,0.0569595539234992,1.519665809428729,1.099190622949083,0.028981207564119125,0.0012888910524232512,0.012055829349136987,0.0029295831485046473,0.012055829349136987,0.0029295831485046473,0.0,0.0,0.19403835708558018,0.03886059244153827,0.0,0.0,2.168404344971009e-17,7.099661806259485e-18,2.5331180304905658e-15,9.16881873060789e-16,3,ok,False
gaussian,12,5.0,2097152,0.021513242761920456,0.0009672856817534955,0.002572408466547387,0.002229481520406761,0.00846201029302468,0.002810533804167148,-2.1684908619625858e-16,0.0,0.0,0.0,0.9897944182222704,0.001932976246611321,1.0,0.0,1.01031338122901,0.0019752408725614346,0.02151324276192067,0.0009672856817534972,0.013051232468895774,0.0018550937712070719,0.0,0.0,-0.02365603983963474,0.05769044365419403,1.247520515801259,0.9207357173080849,0.02151324276192067,0.0009672856817534972,0.008462010293024897,0.002810533804167148,0.008462010293024897,0.002810533804167148,0.0,0.0,0.19758829229250938,0.03994509512837769,0.0,0.0,1.2576745200831851e-17,2.8438356375953476e-18,2.3620003029730673e-15,1.0312337776944028e-15,3,ok,False
gaussian,12,5.0,4194304,0.014223736648797558,0.0016073404943982453,0.0004973012791280178,0.0008613510821187184,0.005090472728511201,0.0007602779939228644,-2.1684908619625858e-16,0.0,0.0,0.0,0.9927208300628979,0.0005652669498625396,1.0,0.0,1.0073327625162731,0.0005735910752309349,0.014223736648797775,0.0016073404943982472,0.009133263920286357,0.0012379194314768942,0.0,0.0,-0.030645612394336188,0.05621375987709697,0.8252742107655071,0.5970451250820454,0.014223736648797775,0.0016073404943982472,0.005090472728511417,0.0007602779939228644,0.005090472728511417,0.0007602779939228644,0.0,0.0,0.20058416612257104,0.03798035627194578,0.0,0.0,1.0986582014519778e-17,2.6498338794935426e-18,2.4931246372247614e-15,9.194110282498104e-16,3,ok,True
gaussian,16,5.0,262144,0.0931814594031195,0.012960591931566208,0.008689719244526531,0.01161468216314749,0.03407230304332138,0.008852848674685734,-2.1684908619625858e-16,0.0,0.0,0.0,0.9548809835123594,0.0034879876692077744,1.0,0.0,1.0472602635615826,0.003831924439130054,0.09318145940311973,0.012960591931566208,0.05910915635979813,0.006778391026740476,0.0,0.0,-0.001265923698703907,0.04494736241721641,1.2140858205758682,0.7483447966574007,0.09318145940311973,0.012960591931566208,0.034072303043321595,0.008852848674685729,0.034072303043321595,0.008852848674685729,0.0,0.0,0.148218396879525,0.03967410614411931,0.0,0.0,5.551115123125783e-17,0.0,2.1044292822787335e-15,4.805603624460283e-16,3,ok,False
gaussian,16,5.0,524288,0.05955867830988978,0.004618972739313266,8.100527209595288e-05,0.00014030524695112992,0.017544578314396247,0.004520532899549661,-2.1684908619625858e-16,0.0,0.0,0.0,0.9683022334917033,0.001908516286480391,1.0,0.0,1.0327380804281612,0.002035527978977838,0.059558678309889986,0.0046189727393132676,0.04201409999549352,0.0068922155368975075,0.0,0.0,-0.02801647735961889,0.055729359798890564,1.0823915058082887,1.0257941621768563,0.059558678309889986,0.0046189727393132676,0.017544578314396465,0.004520532899549661,0.017544578314396465,0.004520532899549661,0.0,0.0,0.15793939382442937,0.03624677565143566,0.0,0.0,3.700743415417188e-17,1.6024689053196365e-17,2.0423168870431555e-15,4.245799711780454e-16,3,ok,False
gaussian,16,5.0,1048576,0.044632555111598825,0.0037334201818081687,0.0008593750272819873,0.0014884812100082884,0.013655011826277671,0.0032995999439414826,-2.1684908619625858e-16,0.0,0.0,0.0,0.977325962863716,0.0013861458239369945,1.0,0.0,1.0232014495274824,0.0014520801310765278,0.04463255511159903,0.0037334201818081734,0.030977543285321152,0.004470881376076807,0.0,0.0,-0.03904632385007352,0.05770343678929441,1.026197364560686,1.1288648929552056,0.04463255511159903,0.0037334201818081734,0.013655011826277888,0.0032995999439414826,0.013655011826277888,0.0032995999439414826,0.0,0.0,0.16634824782909574,0.03728120662909969,0.0,0.0,5.608939238991677e-17,2.430677136069891e-17,2.2415427288864294e-15,1.6101493562942183e-15,3,ok,False
gaussian,16,5.0,2097152,0.029675764446745707,0.003597600639792248,0.002083178298309357,0.003608170653896679,0.007261669545013692,0.004017588851447739,-2.1684908619625858e-16,0.0,0.0,0.0,0.9825700963509156,0.003487942224613088,1.0,0.0,1.0177476354765407,0.0036091184005838284,0.029675764446745925,0.0035976006397922455,0.022414094901732014,0.0005845103894202219,0.0,0.0,-0.05202549888465372,0.05806539162907173,0.8427094503264764,1.0082425901527594,0.029675764446745925,0.0035976006397922455,0.00726166954501391,0.004017588851447739,0.00726166954501391,0.004017588851447739,0.0,0.0,0.17073849063444957,0.03542074216860532,0.0,0.0,3.700743415417188e-17,8.012344526598184e-18,2.4357501382540727e-15,7.773407329476483e-16,3,ok,False
gaussian,16,5.0,4194304,0.02233689933960308,0.005271285281783938,0.001934031667619654,0.003349841111764402,0.006523634709543501,0.005252918160611838,-2.1684908619625858e-16,0.0,0.0,0.0,0.9874840509600609,0.0017963362130427687,1.0,0.0,1.0126768186031638,0.001843041868188285,0.022336899339603297,0.005271285281783938,0.015813264630059578,0.00030343104111243757,0.0,0.0,-0.05800318350711608,0.05899455735771799,0.7091946788453449,0.8883549459964015,0.022336899339603297,0.005271285281783938,0.006523634709543718,0.005252918160611838,0.006523634709543718,0.005252918160611838,0.0,0.0,0.17473374798425603,0.037671744387966694,0.0,0.0,1.850371707708594e-17,8.012344526598183e-18,1.684910613984866e-15,7.909245734487014e-16,3,ok,True
radial_tail,2,5.0,262144,0.1713298478830847,0.005606967500796417,0.17088502712451747,0.005230085863460525,0.17119761519619367,0.005498218576215604,,,,,1.0,0.0,,,1.0,0.0,,,0.0001322326868910447,0.00018002574233104898,0.1673069045204714,0.0033026327179657587,0.1713107393255989,0.005591318994662926,32740.377459684634,45482.003808583046,,,,,,,0.00240133809964486,0.0022354013503709043,0.22984122064820198,0.020640020880087782,-0.0024104728142127683,0.0022454739455565593,5.551115123125783e-17,0.0,2.1198379103310755e-16,6.866156724814245e-17,3,ok,False
radial_tail,2,5.0,524288,0.1730785310430277,0.0034695121658511654,0.1729036836364307,0.0033672367140372803,0.17300610848678136,0.0034371698798663516,,,,,1.0,0.0,,,1.0,0.0,,,7.242255624631544e-05,9.75385413155536e-05,0.17240209618702332,0.003399818347569409,0.17307570448259238,0.003467086856535977,20107764.950284753,34748327.010608666,,,,,,,0.0018040421825702795,0.0004418907856647872,0.22966703386083318,0.02161481795299587,-0.0018074335454495067,0.000443581966639607,5.551115123125783e-17,0.0,2.0602572564446152e-16,6.563587823943847e-17,3,ok,False
