n,omega,tau_type,tau_value,init_name,dt,T,final_energy,final_normalized_energy,time_to_1e_minus_2,time_to_1e_minus_4,time_to_1e_minus_6,monotone_energy_bool,min_eig_min_over_time,max_eig_max_over_time
5,0.125,zero,0.0,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
5,0.125,zero,0.0,volume_high,0.02,20.0,0.0,0.0,0.4,0.9,1.5,True,1.0000000000000007,4.0
5,0.125,zero,0.0,volume_low,0.02,20.0,0.0,0.0,0.8,1.4000000000000001,2.0,True,0.25,0.9999999999999987
5,0.125,zero,0.0,shape_only,0.02,20.0,0.0,0.0,0.7000000000000001,1.3,1.9000000000000001,True,0.1353352832366127,7.38905609893065
5,0.125,zero,0.0,mixed,0.02,20.0,0.0,0.0,1.7,4.0,6.3,True,0.44626032029685964,8.963378140676129
5,0.125,positive,0.0125,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
5,0.125,positive,0.0125,volume_high,0.02,20.0,4.440892098500626e-16,1.1007935998990615e-16,0.6,1.4000000000000001,2.2,True,1.0000000000000013,4.0
5,0.125,positive,0.0125,volume_low,0.02,20.0,0.0,0.0,1.2,2.1,2.9,True,0.25,0.9999999999999982
5,0.125,positive,0.0125,shape_only,0.02,20.0,0.0,0.0,0.7000000000000001,1.4000000000000001,2.2,True,0.1353352832366127,7.38905609893065
5,0.125,positive,0.0125,mixed,0.02,20.0,4.440892098500626e-16,8.115737644582779e-17,1.6,3.9,6.2,True,0.44626032029685964,8.963378140676129
5,0.25,negative,-0.025,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
5,0.25,negative,-0.025,volume_high,0.02,20.0,0.0,0.0,0.4,0.9,1.5,True,1.0000000000000007,4.0
5,0.25,negative,-0.025,volume_low,0.02,20.0,0.0,0.0,0.8,1.4000000000000001,2.0,True,0.25,0.9999999999999986
5,0.25,negative,-0.025,shape_only,0.02,20.0,0.0,0.0,1.4000000000000001,2.6,3.7,True,0.1353352832366127,7.38905609893065
5,0.25,negative,-0.025,mixed,0.02,20.0,0.0,0.0,1.9000000000000001,4.2,6.4,True,0.3978809766777423,8.963378140676129
5,0.25,zero,0.0,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
5,0.25,zero,0.0,volume_high,0.02,20.0,4.440892098500626e-16,1.1007935998990615e-16,0.8,1.9000000000000001,3.0,True,1.0000000000000013,4.0
5,0.25,zero,0.0,volume_low,0.02,20.0,0.0,0.0,1.6,2.8000000000000003,3.9,True,0.25,0.9999999999999972
5,0.25,zero,0.0,shape_only,0.02,20.0,0.0,0.0,1.4000000000000001,2.6,3.8000000000000003,True,0.1353352832366127,7.38905609893065
5,0.25,zero,0.0,mixed,0.02,20.0,4.440892098500626e-16,8.115737644582779e-17,1.7,4.0,6.3,True,0.44626032029685964,8.963378140676129
5,0.25,positive,0.025,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
5,0.25,positive,0.025,volume_high,0.02,20.0,0.0,0.0,1.2,2.8000000000000003,4.5,True,1.0000000000013416,4.0
5,0.25,positive,0.025,volume_low,0.02,20.0,0.0,0.0,2.4,4.2,5.9,True,0.25,0.9999999999944161
5,0.25,positive,0.025,shape_only,0.02,20.0,0.0,0.0,1.4000000000000001,2.8000000000000003,4.4,True,0.1353352832366127,7.38905609893065
5,0.25,positive,0.025,mixed,0.02,20.0,0.0,0.0,1.6,3.8000000000000003,6.1000000000000005,True,0.44626032029685964,8.963378140676129
5,0.5,negative,-0.05,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
5,0.5,negative,-0.05,volume_high,0.02,20.0,0.0,0.0,0.8,1.9000000000000001,3.0,True,1.000000000000001,4.0
5,0.5,negative,-0.05,volume_low,0.02,20.0,0.0,0.0,1.6,2.8000000000000003,3.9,True,0.25,0.9999999999999972
5,0.5,negative,-0.05,shape_only,0.02,20.0,0.0,0.0,2.8000000000000003,5.2,7.5,True,0.1353352832366127,7.38905609893065
5,0.5,negative,-0.05,mixed,0.02,20.0,0.0,0.0,2.2,4.7,6.9,True,0.40141965597158646,8.963378140676129
5,0.5,zero,0.0,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
5,0.5,zero,0.0,volume_high,0.02,20.0,0.0,0.0,1.6,3.7,6.0,True,1.000000001244349,4.0
5,0.5,zero,0.0,volume_low,0.02,20.0,0.0,0.0,3.2,5.6000000000000005,7.9,True,0.25,0.9999999948793947
5,0.5,zero,0.0,shape_only,0.02,20.0,0.0,0.0,2.8000000000000003,5.3,7.6000000000000005,True,0.1353352832366127,7.38905609893065
5,0.5,zero,0.0,mixed,0.02,20.0,4.440892098500626e-16,8.115737644582779e-17,2.0,4.3,6.6000000000000005,True,0.44626032029685964,8.963378140676129
5,0.5,positive,0.05,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
5,0.5,positive,0.05,volume_high,0.02,20.0,1.5125678487493133e-12,3.7493030012562035e-13,2.3000000000000003,5.6000000000000005,9.0,True,1.0000011000902385,4.0
5,0.5,positive,0.05,volume_low,0.02,20.0,2.5129232028575643e-11,1.579723697965683e-11,4.8,8.4,11.8,True,0.25,0.9999955163137486
5,0.5,positive,0.05,shape_only,0.02,20.0,6.10178574333986e-13,2.2090345600916064e-13,2.8000000000000003,5.6000000000000005,8.700000000000001,True,0.1353352832366127,7.38905609893065
