R,lambda_minus,lambda_plus,beta,L_clip,dt_safety,dt,dt_rule,step,c,c_tilde,c_next,A,F,D_kl_current_to_next,running_min_D,prefix_bound,bound_margin,clipped_lower_active,clipped_upper_active,denominator,status
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,10,1.1560383126552143,1.1736517852989115,1.1736517852989115,-0.9942529483120135,-0.6488544797907316,5.687533467956061e-05,4.896349725138499e-05,0.0001063742824838481,5.741078523246311e-05,0,0,0.9919183199168189,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,11,1.1736517852989115,1.1916806855871018,1.1916806855871018,-0.9941658942774203,-0.6651707999548518,5.780518961217944e-05,4.896349725138499e-05,0.00010722679824155313,5.826330099016814e-05,0,0,0.9917959053200642,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,12,1.1916806855871018,1.2101393944049665,1.2101393944049665,-0.994076802677268,-0.6817545470234824,5.8764693928749744e-05,4.896349725138499e-05,0.00010809742083439193,5.913392358300694e-05,0,0,0.9916706256783858,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,13,1.2101393944049665,1.2290429621204568,1.2290429621204568,-0.9939856035560894,-0.6986142649894852,5.97551599050743e-05,4.896349725138499e-05,0.00010898675159101974,6.002325433963475e-05,0,0,0.9915423826351472,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,14,1.2290429621204568,1.2484071479412118,1.2484071479412118,-0.9938922237289498,-0.7157588767480176,6.0777974382829336e-05,4.896349725138499e-05,0.0001098954192084475,6.093192195706251e-05,0,0,0.9914110732936541,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,15,1.2484071479412118,1.268248462076905,1.268248462076905,-0.9937965865932057,-0.733197705669253,6.183460395207778e-05,4.896349725138499e-05,0.00011082408133949393,6.186058408810894e-05,0,0,0.9912765899525603,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,16,1.268248462076905,1.2885842109428276,1.2885842109428276,-0.9936986119269597,-0.7509404986726579,6.292660056063035e-05,4.896349725138499e-05,0.00011177342629273985,6.280992904135486e-05,0,0,0.991138819822579,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,17,1.2885842109428276,1.309432545663426,1.309432545663426,-0.9935982156731065,-0.7689974509279005,6.405560759111667e-05,4.896349725138499e-05,0.00011274417485415763,6.378067760277264e-05,0,0,0.9909976447229406,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,18,1.309432545663426,1.3308125141599427,1.3308125141599427,-0.9934953097077495,-0.7873792323178752,6.522336645091789e-05,4.896349725138499e-05,0.00011373708224071394,6.477358498932895e-05,0,0,0.9908529407558925,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,19,1.3308125141599427,1.3527441171345882,1.3527441171345882,-0.9933898015916598,-0.8060970158128054,6.64317237251584e-05,4.896349725138499e-05,0.00011475294019726538,6.578944294588039e-05,0,0,0.9907045779573646,ok
20.0,0.5,2.0,1.0,128.0,0.9,0.00703125,theorem_safe,20,1.3527441171345882,1.3752483682951493,1.3752483682951493,-0.9932815943033106,-0.8251625079190088,6.76826389485359e-05,4.896349725138499e-05,0.00011579257924939744,6.682908199801244e-05,0,0,0.9905524199217447,ok
