R,eta,N,running_min_bw_grad_sq,theorem_envelope,bound_satisfied,F0,F_star_num,Delta
20.0,0.9,59,1.9847104540766242e-32,735.3436652555262,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,60,1.9847104540766242e-32,723.0879375012673,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,61,1.9847104540766242e-32,711.2340368864925,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,62,1.9847104540766242e-32,699.7625201625168,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,63,1.9847104540766242e-32,688.6551785726356,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,64,1.9847104540766242e-32,677.8949414074382,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,65,1.9847104540766242e-32,667.4657884627084,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,66,1.9847104540766242e-32,657.3526704556976,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,67,1.9847104540766242e-32,647.5414365682991,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,68,1.9847104540766242e-32,638.0187683834712,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,69,1.9847104540766242e-32,628.7721195663195,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,70,1.9847104540766242e-32,619.7896607153721,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,71,1.9847104540766242e-32,611.0602288743105,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,72,1.9847104540766242e-32,602.5732812510562,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,73,1.9847104540766242e-32,594.3188527407676,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,74,1.9847104540766242e-32,586.2875168929194,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,75,1.9847104540766242e-32,578.4703500010139,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,76,1.9847104540766242e-32,570.8588980273163,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,77,1.9847104540766242e-32,563.4451461048836,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,78,1.9847104540766242e-32,556.2214903855903,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,79,1.9847104540766242e-32,549.1807120262789,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,80,1.9847104540766242e-32,542.3159531259505,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,81,1.9847104540766242e-32,535.6206944453832,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,82,1.9847104540766242e-32,529.0887347570249,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,83,1.9847104540766242e-32,522.7141716876631,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,84,1.9847104540766242e-32,516.4913839294767,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,85,1.9847104540766242e-32,510.41501470677696,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,86,1.9847104540766242e-32,504.47995639623304,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,87,1.9847104540766242e-32,498.68133620777064,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,88,1.9847104540766242e-32,493.0145028417732,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,89,1.9847104540766242e-32,487.47501404579816,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,90,1.9847104540766242e-32,482.0586250008449,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,91,1.9847104540766242e-32,476.76127747336307,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,92,1.9847104540766242e-32,471.5790896747396,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,93,1.9847104540766242e-32,466.5083467750112,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,94,1.9847104540766242e-32,461.5454920220855,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,95,1.9847104540766242e-32,456.6871184218531,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,96,1.9847104540766242e-32,451.9299609382921,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,97,1.9847104540766242e-32,447.2708891760417,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,98,1.9847104540766242e-32,442.70690051098,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,99,1.9847104540766242e-32,438.2351136371317,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,100,1.9847104540766242e-32,433.85276250076043,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,101,1.9847104540766242e-32,429.55719059481225,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,102,1.9847104540766242e-32,425.3458455889808,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,103,1.9847104540766242e-32,421.2162742725829,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,104,1.9847104540766242e-32,417.1661177891927,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,105,1.9847104540766242e-32,413.19310714358136,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,106,1.9847104540766242e-32,409.2950589629815,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,107,1.9847104540766242e-32,405.4698714960378,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,108,1.9847104540766242e-32,401.7155208340374,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,109,1.9847104540766242e-32,398.03005734014715,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,110,1.9847104540766242e-32,394.41160227341857,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,111,1.9847104540766242e-32,390.8583445952796,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,112,1.9847104540766242e-32,387.36853794710754,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,113,1.9847104540766242e-32,383.94049778828355,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,114,1.9847104540766242e-32,380.5725986848775,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,115,1.9847104540766242e-32,377.26327173979166,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,116,1.9847104540766242e-32,374.01100215582795,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,117,1.9847104540766242e-32,370.81432692372687,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,118,1.9847104540766242e-32,367.6718326277631,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,119,1.9847104540766242e-32,364.5821533619835,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,120,1.9847104540766242e-32,361.54396875063367,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,121,1.9847104540766242e-32,358.55600206674416,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,122,1.9847104540766242e-32,355.61701844324625,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,123,1.9847104540766242e-32,352.72582317134993,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,124,1.9847104540766242e-32,349.8812600812584,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,125,1.9847104540766242e-32,347.0822100006083,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,126,1.9847104540766242e-32,344.3275892863178,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,127,1.9847104540766242e-32,341.6163484257956,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,128,1.9847104540766242e-32,338.9474707037191,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,129,1.9847104540766242e-32,336.319970930822,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,130,1.9847104540766242e-32,333.7328942313542,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,131,1.9847104540766242e-32,331.18531488607664,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,132,1.9847104540766242e-32,328.6763352278488,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,133,1.9847104540766242e-32,326.2050845870379,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,134,1.9847104540766242e-32,323.77071828414955,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,135,1.9847104540766242e-32,321.3724166672299,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,136,1.9847104540766242e-32,319.0093841917356,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,137,1.9847104540766242e-32,316.68084854070105,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,138,1.9847104540766242e-32,314.38605978315974,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,139,1.9847104540766242e-32,312.1242895688924,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,140,1.9847104540766242e-32,309.89483035768603,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,141,1.9847104540766242e-32,307.6969946813904,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,142,1.9847104540766242e-32,305.53011443715525,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,143,1.9847104540766242e-32,303.39354021032193,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,144,1.9847104540766242e-32,301.2866406255281,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,145,1.9847104540766242e-32,299.20880172466235,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,146,1.9847104540766242e-32,297.1594263703838,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,147,1.9847104540766242e-32,295.13793367398665,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,148,1.9847104540766242e-32,293.1437584464597,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,149,1.9847104540766242e-32,291.1763506716513,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,150,1.9847104540766242e-32,289.23517500050696,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,151,1.9847104540766242e-32,287.31971026540424,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,152,1.9847104540766242e-32,285.42944901365814,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,153,1.9847104540766242e-32,283.5638970593205,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,154,1.9847104540766242e-32,281.7225730524418,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,155,1.9847104540766242e-32,279.9050080650067,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,156,1.9847104540766242e-32,278.11074519279515,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,157,1.9847104540766242e-32,276.33933917245884,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,158,1.9847104540766242e-32,274.59035601313946,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,159,1.9847104540766242e-32,272.8633726419877,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,160,1.9847104540766242e-32,271.15797656297525,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,161,1.9847104540766242e-32,269.47376552842263,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,162,1.9847104540766242e-32,267.8103472226916,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,163,1.9847104540766242e-32,266.1673389575217,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,164,1.9847104540766242e-32,264.54436737851245,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,165,1.9847104540766242e-32,262.941068182279,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,166,1.9847104540766242e-32,261.35708584383156,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,167,1.9847104540766242e-32,259.7920733537487,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,168,1.9847104540766242e-32,258.24569196473834,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,169,1.9847104540766242e-32,256.7176109471955,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,170,1.9847104540766242e-32,255.20750735338848,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,171,1.9847104540766242e-32,253.71506578991836,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,172,1.9847104540766242e-32,252.23997819811652,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,173,1.9847104540766242e-32,250.78194364205802,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,174,1.9847104540766242e-32,249.34066810388532,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,175,1.9847104540766242e-32,247.9158642861488,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,176,1.9847104540766242e-32,246.5072514208866,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,177,1.9847104540766242e-32,245.11455508517537,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,178,1.9847104540766242e-32,243.73750702289908,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,179,1.9847104540766242e-32,242.37584497249188,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,180,1.9847104540766242e-32,241.02931250042246,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,181,1.9847104540766242e-32,239.69765884019913,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,182,1.9847104540766242e-32,238.38063873668153,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,183,1.9847104540766242e-32,237.07801229549747,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,184,1.9847104540766242e-32,235.7895448373698,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,185,1.9847104540766242e-32,234.51500675716778,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,186,1.9847104540766242e-32,233.2541733875056,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,187,1.9847104540766242e-32,232.00682486671678,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,188,1.9847104540766242e-32,230.77274601104276,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,189,1.9847104540766242e-32,229.55172619087853,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,190,1.9847104540766242e-32,228.34355921092654,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,191,1.9847104540766242e-32,227.1480431941154,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,192,1.9847104540766242e-32,225.96498046914604,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,193,1.9847104540766242e-32,224.79417746153388,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,194,1.9847104540766242e-32,223.63544458802085,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,195,1.9847104540766242e-32,222.48859615423612,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,196,1.9847104540766242e-32,221.35345025549,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,197,1.9847104540766242e-32,220.22982868058904,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,198,1.9847104540766242e-32,219.11755681856584,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,199,1.9847104540766242e-32,218.01646356822133,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,200,1.9847104540766242e-32,216.92638125038022,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,201,1.9847104540766242e-32,215.84714552276637,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,202,1.9847104540766242e-32,214.77859529740613,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,203,1.9847104540766242e-32,213.7205726604731,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,204,1.9847104540766242e-32,212.6729227944904,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,205,1.9847104540766242e-32,211.63549390280997,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,206,1.9847104540766242e-32,210.60813713629145,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,207,1.9847104540766242e-32,209.59070652210647,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,208,1.9847104540766242e-32,208.58305889459635,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,209,1.9847104540766242e-32,207.58505382811504,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,210,1.9847104540766242e-32,206.59655357179068,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,211,1.9847104540766242e-32,205.61742298614237,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,212,1.9847104540766242e-32,204.64752948149075,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,213,1.9847104540766242e-32,203.68674295810345,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,214,1.9847104540766242e-32,202.7349357480189,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,215,1.9847104540766242e-32,201.79198255849323,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,216,1.9847104540766242e-32,200.8577604170187,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,217,1.9847104540766242e-32,199.93214861786194,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,218,1.9847104540766242e-32,199.01502867007358,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,219,1.9847104540766242e-32,198.10628424692257,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,220,1.9847104540766242e-32,197.20580113670928,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,221,1.9847104540766242e-32,196.3134671949142,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,222,1.9847104540766242e-32,195.4291722976398,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,223,1.9847104540766242e-32,194.5528082963051,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,224,1.9847104540766242e-32,193.68426897355377,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,225,1.9847104540766242e-32,192.82345000033797,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,226,1.9847104540766242e-32,191.97024889414178,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,227,1.9847104540766242e-32,191.12456497830854,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,228,1.9847104540766242e-32,190.28629934243875,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,229,1.9847104540766242e-32,189.45535480382551,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,230,1.9847104540766242e-32,188.63163586989583,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,231,1.9847104540766242e-32,187.8150487016279,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,232,1.9847104540766242e-32,187.00550107791398,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,233,1.9847104540766242e-32,186.20290236084136,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,234,1.9847104540766242e-32,185.40716346186343,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,235,1.9847104540766242e-32,184.61819680883423,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
20.0,0.9,236,1.9847104540766242e-32,183.83591631388154,1,-0.4987541446912317,-260.8104116451475,260.31165750045625
