potential_family,N_theta,kappa_target,Lambda_hat_full_sym_mean,Lambda_hat_full_sym_std,Lambda_hat_diag_mean,Lambda_hat_separable_exact_mean,tau_H_sq_mean,coupling_bound_rate_mean,full_minus_diag_mean,lambda_over_logkappa_mean,self_adjoint_error_H_sym_max,n_seeds
product_feature,12,10.0,0.18769997445179318,0.015019325050739978,0.07203799433170657,,0.007867765992495107,0.3324614354741657,0.11566198012008659,0.05683425836626326,2.220446049250313e-16,3
product_feature,12,50.0,0.19717680824915043,0.018788131963465342,0.07539516841125321,,0.01119829472082466,0.3320937131735655,0.12178163983789723,0.04014167035277636,2.220446049250313e-16,3
product_feature,12,100.0,0.19661106462819677,0.0381483330904546,0.05642262898388964,,0.012222513765078826,0.33198082126388434,0.14018843564430714,0.0350767341765445,2.7755575615628914e-16,3
radial_tail,4,10.0,0.2442529785693709,0.022908411555773275,0.24007822838282147,,2.2781580929547953e-34,0.3333333333333333,0.004174750186549438,0.07395811816855774,1.1102230246251565e-16,3
radial_tail,4,50.0,0.30881101719258414,0.020583913889709107,0.30378146365505465,,1.5144134975496891e-34,0.3333333333333333,0.005029553537529523,0.06286839798008383,1.6653345369377348e-16,3
radial_tail,4,100.0,0.3084453681879536,0.04100139702662296,0.3030867498526568,,1.8739571257733998e-34,0.3333333333333333,0.005358618335296772,0.055028724900987126,2.220446049250313e-16,3
radial_tail,8,10.0,0.3234318971989591,0.029179902479168688,0.29454487649234856,,4.3587540163782686e-34,0.3333333333333333,0.02888702070661059,0.09793294891479794,3.3306690738754696e-16,3
radial_tail,8,50.0,0.37223995414609234,0.03404671989547909,0.34163743752217995,,4.8679525143690424e-34,0.3333333333333333,0.030602516623912463,0.07578139469923896,3.3306690738754696e-16,3
radial_tail,8,100.0,0.366263699087446,0.029026625060209046,0.34044808944534116,,4.897061194937224e-34,0.3333333333333333,0.02581560964210483,0.06534390338459994,4.163336342344337e-16,3
radial_tail,12,10.0,0.3856913997967602,0.049732670165619094,0.3066338264818805,,1.1661302028251104e-33,0.3333333333333333,0.07905757331487978,0.11678469711952266,2.7755575615628914e-16,3
radial_tail,12,50.0,0.3920527464770942,0.06285972559283169,0.321264747415336,,1.3692869513125914e-33,0.3333333333333333,0.07078799906175819,0.07981492473545973,2.220446049250313e-16,3
radial_tail,12,100.0,0.41940571768304036,0.02034404647154152,0.3562715880456646,,1.5680454201912726e-33,0.3333333333333333,0.0631341296373757,0.0748247963516752,3.3306690738754696e-16,3
random_feature,4,10.0,0.11089327216150953,0.011370128312567134,0.04572735122802087,,0.008090364661228299,0.33243710591399345,0.06516592093348865,0.03357771837484323,1.1102230246251565e-16,3
random_feature,4,50.0,0.12511325083416644,0.021340261991821097,0.046631631555304275,,0.011655503925276367,0.33204376823218856,0.07848161927886216,0.02547081939475998,1.1102230246251565e-16,3
random_feature,4,100.0,0.13555848778377264,0.018798851265662397,0.06637211629883294,,0.011923634768702132,0.33201427155458935,0.0691863714849397,0.024184544498335528,1.1102230246251565e-16,3
random_feature,8,10.0,0.1426378954657295,0.03633661749766619,0.08515938127277833,,0.014729852744866934,0.3317054584269377,0.057478514192951156,0.04318977148183556,2.220446049250313e-16,3
random_feature,8,50.0,0.15998134025320607,0.04199472599411044,0.07927905411450827,,0.019805060734794468,0.33114837562063815,0.08070228613869779,0.032569338554891726,1.249000902703301e-16,3
random_feature,8,100.0,0.17569794661205496,0.027194523520829118,0.0979444867152696,,0.020784135656696404,0.3310417494649117,0.07775345989678535,0.03134569349049703,1.6653345369377348e-16,3
random_feature,12,10.0,0.19382674659923152,0.020375271374815304,0.07390886658353342,,0.014880617774502008,0.33168810146966715,0.1199178800156981,0.0586894027379966,3.3306690738754696e-16,3
random_feature,12,50.0,0.18225869527404445,0.02985727580717457,0.05882097504968601,,0.018731067106411214,0.331265040844319,0.12343772022435845,0.03710460945981629,3.3306690738754696e-16,3
random_feature,12,100.0,0.18967890043451593,0.035220586923099366,0.05410424947444457,,0.02026229710196154,0.3310970831049675,0.13557465096007137,0.033839989534783226,2.3592239273284576e-16,3
